,Eruption Number,dt,year
212,15153,1957-02-08,1957
213,13397,1957-02-08,1957
214,10719,1957-02-19,1957
215,18692,1957-02-26,1957
216,15665,1957-03-13,1957
217,11060,1957-03-27,1957
218,18408,1957-03-28,1957
219,13841,1957-04-12,1957
220,18319,1957-05-02,1957
221,10465,1957-05-14,1957
222,18848,1957-05-16,1957
223,14783,1957-06-16,1957
224,18088,1957-07-02,1957
225,19447,1957-07-02,1957
226,11710,1957-07-02,1957
227,16247,1957-07-02,1957
228,20228,1957-07-02,1957
229,11338,1957-07-02,1957
230,19337,1957-07-31,1957
231,14110,1957-08-01,1957
232,18228,1957-08-16,1957
233,13791,1957-08-25,1957
234,15267,1957-08-26,1957
235,14354,1957-09-02,1957
236,10956,1957-09-04,1957
237,12986,1957-09-27,1957
238,13842,1957-10-16,1957
239,18802,1957-10-16,1957
240,14887,1957-10-26,1957
241,13917,1957-11-12,1957
242,14476,1957-12-11,1957
243,14064,1957-12-28,1957
244,20739,1958-01-16,1958
245,19338,1958-01-16,1958
246,15047,1958-02-01,1958
247,14018,1958-02-06,1958
248,16446,1958-02-19,1958
249,18693,1958-02-23,1958
250,14888,1958-03-11,1958
251,18229,1958-04-17,1958
252,13398,1958-04-17,1958
253,14989,1958-04-21,1958
254,20135,1958-05-17,1958
255,19448,1958-05-18,1958
256,19339,1958-05-21,1958
257,18849,1958-05-26,1958
258,14355,1958-05-30,1958
259,15461,1958-06-23,1958
260,11166,1958-07-02,1958
261,18320,1958-07-02,1958
262,18764,1958-07-02,1958
263,16248,1958-07-02,1958
264,14671,1958-07-09,1958
265,16469,1958-07-12,1958
266,19310,1958-07-13,1958
267,14065,1958-08-07,1958
268,19846,1958-08-14,1958
269,14889,1958-09-05,1958
270,13399,1958-09-13,1958
271,11663,1958-09-16,1958
272,15327,1958-09-16,1958
273,15606,1958-10-02,1958
274,17801,1958-10-03,1958
275,18655,1958-10-04,1958
276,15341,1958-10-07,1958
277,15462,1958-10-17,1958
278,14596,1958-11-05,1958
279,12160,1958-11-06,1958
280,11441,1958-11-16,1958
281,13792,1958-11-16,1958
282,15268,1958-11-18,1958
283,15154,1958-11-21,1958
284,14477,1958-12-16,1958
285,19340,1958-12-28,1958
286,17841,1958-12-31,1958
287,14750,1958-12-31,1958
288,19449,1959-01-03,1959
289,18230,1959-01-16,1959
290,14131,1959-01-23,1959
291,17159,1959-02-13,1959
292,14356,1959-03-11,1959
293,13793,1959-03-23,1959
294,10349,1959-03-26,1959
295,14890,1959-04-02,1959
296,15269,1959-04-16,1959
297,18694,1959-05-15,1959
298,14632,1959-05-21,1959
299,14597,1959-06-01,1959
300,16918,1959-06-08,1959
301,14920,1959-06-16,1959
302,11726,1959-06-29,1959
303,11921,1959-07-02,1959
304,12902,1959-07-02,1959
305,15131,1959-07-02,1959
306,19137,1959-07-02,1959
307,19311,1959-07-02,1959
308,18321,1959-07-02,1959
309,11820,1959-07-15,1959
310,18442,1959-07-15,1959
311,13843,1959-07-16,1959
312,18656,1959-08-15,1959
313,15342,1959-09-18,1959
314,19341,1959-10-15,1959
315,10350,1959-10-16,1959
316,18231,1959-10-16,1959
317,13795,1959-10-17,1959
318,11941,1959-11-06,1959
319,20661,1959-11-14,1959
320,11859,1959-11-16,1959
321,14478,1959-12-14,1959
322,15607,1959-12-16,1959
323,14921,1959-12-16,1959
324,12318,1959-12-28,1959
325,14357,1960-01-11,1960
326,10091,1960-01-13,1960
327,13934,1960-01-16,1960
328,13844,1960-01-16,1960
329,16360,1960-03-13,1960
330,14019,1960-03-16,1960
331,13999,1960-04-13,1960
332,19181,1960-04-16,1960
333,14891,1960-04-28,1960
334,12215,1960-05-24,1960
335,11442,1960-06-16,1960
336,12006,1960-07-02,1960
337,11922,1960-07-02,1960
338,20136,1960-07-02,1960
339,16937,1960-07-02,1960
340,15304,1960-07-10,1960
341,11942,1960-07-10,1960
342,10351,1960-07-15,1960
343,15328,1960-07-16,1960
344,15513,1960-07-16,1960
345,18322,1960-07-21,1960
346,15048,1960-07-29,1960
347,18814,1960-08-30,1960
348,13845,1960-09-16,1960
349,18695,1960-09-16,1960
350,15270,1960-09-17,1960
351,18795,1960-09-27,1960
352,10957,1960-09-28,1960
353,17884,1960-10-10,1960
354,19847,1960-10-15,1960
355,18784,1960-10-20,1960
356,11821,1960-12-02,1960
357,11840,1960-12-02,1960
358,19450,1960-12-16,1960
359,18971,1960-12-16,1960
360,13400,1960-12-16,1960
361,14990,1960-12-19,1960
362,19023,1961-01-16,1961
363,12262,1961-02-01,1961
364,10092,1961-02-24,1961
365,16521,1961-02-28,1961
366,10093,1961-03-03,1961
367,10760,1961-03-11,1961
368,11664,1961-03-21,1961
369,19312,1961-03-24,1961
370,19143,1961-03-25,1961
371,15155,1961-03-28,1961
372,14358,1961-04-05,1961
373,15913,1961-04-11,1961
374,18850,1961-05-02,1961
375,11536,1961-05-05,1961
376,16447,1961-05-19,1961
377,19342,1961-05-21,1961
378,20229,1961-06-30,1961
379,10466,1961-07-02,1961
380,12162,1961-07-02,1961
381,12007,1961-07-02,1961
382,10094,1961-07-10,1961
383,14922,1961-07-16,1961
384,15678,1961-07-16,1961
385,15132,1961-07-26,1961
386,18657,1961-08-14,1961
387,15271,1961-08-15,1961
388,17802,1961-08-18,1961
389,10095,1961-09-22,1961
390,16522,1961-10-09,1961
391,13147,1961-10-10,1961
392,12319,1961-10-16,1961
393,19343,1961-10-18,1961
394,10958,1961-10-25,1961
395,12919,1961-10-26,1961
396,15156,1962-01-16,1962
397,18233,1962-01-16,1962
398,11943,1962-01-16,1962
399,10924,1962-01-16,1962
400,19663,1962-01-24,1962
401,16523,1962-01-29,1962
402,15133,1962-02-15,1962
403,13232,1962-03-05,1962
404,17543,1962-03-14,1962
405,14991,1962-03-16,1962
406,10959,1962-03-21,1962
407,16448,1962-04-16,1962
408,14923,1962-04-16,1962
409,18696,1962-04-28,1962
410,14598,1962-05-24,1962
411,20230,1962-06-09,1962
412,11062,1962-06-16,1962
413,17523,1962-06-17,1962
414,18658,1962-06-29,1962
415,15305,1962-07-16,1962
416,15217,1962-07-16,1962
417,10720,1962-08-04,1962
418,19313,1962-08-16,1962
419,18271,1962-08-24,1962
420,19344,1962-10-21,1962
421,20021,1962-11-05,1962
422,10096,1962-12-07,1962
423,14479,1962-12-15,1962
424,16666,1962-12-31,1962
425,14672,1963-01-16,1963
426,19787,1963-02-13,1963
427,17544,1963-02-14,1963
428,14924,1963-02-15,1963
429,16210,1963-02-18,1963
430,12163,1963-02-25,1963
431,11688,1963-03-04,1963
432,18869,1963-03-08,1963
433,11228,1963-03-13,1963
434,10960,1963-03-16,1963
435,15049,1963-03-17,1963
436,20231,1963-04-01,1963
437,11711,1963-04-13,1963
438,17330,1963-04-21,1963
439,11063,1963-05-09,1963
440,19345,1963-05-16,1963
441,11167,1963-05-23,1963
442,10467,1963-07-02,1963
443,15489,1963-07-02,1963
444,15306,1963-07-07,1963
445,17545,1963-07-10,1963
446,15514,1963-07-16,1963
447,10097,1963-08-21,1963
448,15272,1963-08-30,1963
449,16194,1963-09-05,1963
450,15218,1963-09-15,1963
451,10721,1963-09-28,1963
452,10098,1963-10-05,1963
453,20270,1963-10-11,1963
454,20232,1963-10-17,1963
455,14359,1963-11-07,1963
456,12557,1963-11-08,1963
457,17331,1963-11-10,1963
458,19451,1963-11-13,1963
459,20616,1963-11-16,1963
460,17886,1963-11-20,1963
461,14925,1963-11-26,1963
462,15157,1963-12-14,1963
463,16449,1963-12-17,1963
464,20083,1963-12-28,1963
465,16267,1963-12-31,1963
466,16249,1964-01-29,1964
467,18851,1964-02-01,1964
468,16361,1964-02-08,1964
469,15570,1964-02-14,1964
470,15273,1964-02-16,1964
471,12164,1964-03-02,1964
472,20043,1964-03-10,1964
473,19314,1964-03-16,1964
474,16381,1964-03-16,1964
475,19664,1964-03-18,1964
476,15134,1964-04-24,1964
477,14360,1964-04-30,1964
478,17332,1964-05-14,1964
479,20233,1964-05-31,1964
480,18697,1964-06-18,1964
481,19346,1964-06-25,1964
482,12063,1964-07-02,1964
483,10352,1964-07-02,1964
484,15515,1964-07-08,1964
485,14111,1964-08-03,1964
486,17333,1964-10-16,1964
487,10857,1964-10-23,1964
488,19579,1964-11-12,1964
489,14700,1964-11-19,1964
490,14992,1964-12-04,1964
491,15785,1964-12-13,1964
492,14361,1964-12-21,1964
493,19347,1964-12-25,1964
494,11168,1964-12-25,1964
495,10925,1965-01-16,1965
496,15679,1965-02-16,1965
497,10099,1965-03-05,1965
498,19348,1965-03-09,1965
499,16524,1965-04-05,1965
500,16362,1965-05-07,1965
501,18698,1965-05-15,1965
502,19182,1965-05-15,1965
503,17803,1965-05-23,1965
504,21078,1965-06-14,1965
505,19315,1965-07-02,1965
506,10356,1965-07-02,1965
507,14926,1965-07-02,1965
508,15608,1965-07-02,1965
509,10761,1965-07-04,1965
510,16450,1965-07-10,1965
511,14201,1965-07-12,1965
512,15215,1965-08-09,1965
513,19452,1965-08-16,1965
514,18870,1965-08-16,1965
515,16195,1965-08-18,1965
516,16222,1965-09-16,1965
517,15219,1965-09-27,1965
518,16853,1965-09-28,1965
519,11029,1965-10-10,1965
520,15680,1965-10-16,1965
521,12460,1965-10-24,1965
522,16363,1965-11-02,1965
523,18370,1965-11-13,1965
524,15200,1965-11-23,1965
525,18037,1965-11-25,1965
526,18815,1965-12-09,1965
527,15158,1965-12-11,1965
528,10100,1965-12-24,1965
529,13796,1966-01-10,1966
530,20387,1966-01-24,1966
531,10722,1966-02-07,1966
532,10858,1966-02-22,1966
533,16250,1966-02-28,1966
534,10303,1966-03-09,1966
535,20137,1966-03-15,1966
536,14362,1966-03-15,1966
537,15463,1966-03-16,1966
538,15159,1966-03-19,1966
539,15135,1966-03-20,1966
540,16223,1966-03-28,1966
541,14633,1966-04-04,1966
542,19316,1966-04-15,1966
543,18533,1966-04-21,1966
544,15956,1966-04-26,1966
545,16196,1966-04-28,1966
546,12461,1966-05-05,1966
547,13596,1966-05-21,1966
548,15516,1966-06-09,1966
549,18699,1966-06-15,1966
550,10926,1966-06-16,1966
551,20234,1966-07-02,1966
552,15220,1966-07-02,1966
553,13401,1966-07-02,1966
554,16854,1966-07-05,1966
555,10859,1966-07-16,1966
556,16567,1966-08-12,1966
557,10723,1966-08-12,1966
558,16451,1966-09-24,1966
559,20388,1966-10-07,1966
560,10821,1966-10-28,1966
561,11096,1966-11-06,1966
562,14480,1966-11-13,1966
563,16973,1966-11-22,1966
564,11169,1967-01-01,1967
565,10860,1967-01-05,1967
566,15914,1967-01-12,1967
567,18871,1967-01-16,1967
568,14993,1967-01-19,1967
569,15050,1967-01-22,1967
570,15307,1967-01-27,1967
571,20084,1967-01-28,1967
572,15423,1967-02-18,1967
573,19317,1967-03-16,1967
574,18494,1967-03-27,1967
575,15464,1967-04-16,1967
576,10724,1967-04-22,1967
577,14066,1967-04-23,1967
578,13402,1967-05-07,1967
579,17334,1967-05-16,1967
580,18234,1967-05-16,1967
581,10314,1967-05-29,1967
582,13935,1967-07-02,1967
583,16234,1967-07-02,1967
584,19453,1967-07-02,1967
585,14020,1967-07-08,1967
586,15681,1967-07-16,1967
587,15274,1967-07-16,1967
588,15221,1967-07-16,1967
589,14634,1967-07-22,1967
590,11960,1967-08-09,1967
591,16855,1967-08-16,1967
592,16007,1967-08-31,1967
593,20235,1967-09-05,1967
594,18852,1967-09-06,1967
595,15490,1967-10-10,1967
596,19318,1967-10-16,1967
597,15517,1967-11-02,1967
598,10101,1967-11-05,1967
599,19183,1967-11-16,1967
600,16919,1967-11-25,1967
601,16525,1967-11-29,1967
602,13193,1967-12-04,1967
603,20389,1967-12-06,1967
604,15424,1967-12-11,1967
605,14764,1967-12-11,1967
606,18409,1967-12-23,1967
607,13797,1968-01-07,1968
608,15491,1968-01-14,1968
609,18235,1968-01-19,1968
610,16197,1968-01-23,1968
611,14481,1968-01-27,1968
612,16856,1968-01-31,1968
613,15518,1968-02-03,1968
614,18750,1968-02-16,1968
615,14962,1968-03-16,1968
616,14635,1968-04-06,1968
617,16803,1968-04-21,1968
618,16382,1968-05-07,1968
619,11665,1968-05-21,1968
620,12903,1968-05-23,1968
621,16263,1968-06-03,1968
622,11666,1968-06-11,1968
623,15222,1968-07-02,1968
624,19319,1968-07-02,1968
625,14112,1968-07-02,1968
626,11170,1968-07-02,1968
627,19454,1968-07-03,1968
628,13597,1968-07-16,1968
629,16920,1968-07-18,1968
630,18236,1968-07-28,1968
631,11134,1968-07-29,1968
632,15136,1968-08-16,1968
633,14599,1968-08-18,1968
634,10102,1968-08-22,1968
635,18094,1968-09-16,1968
636,15492,1968-09-16,1968
637,10103,1968-10-07,1968
638,10962,1968-10-23,1968
639,20092,1968-11-13,1968
640,16294,1968-11-28,1968
641,16974,1968-12-21,1968
642,18410,1969-01-12,1969
643,18237,1969-01-19,1969
644,14600,1969-01-21,1969
645,16259,1969-01-27,1969
646,10927,1969-02-11,1969
647,18872,1969-02-16,1969
648,13194,1969-02-21,1969
649,10104,1969-02-22,1969
650,13704,1969-02-27,1969
651,18475,1969-03-11,1969
652,16877,1969-03-21,1969
653,10305,1969-04-22,1969
654,11097,1969-04-22,1969
655,11171,1969-05-03,1969
656,11860,1969-05-16,1969
657,10105,1969-05-24,1969
658,11790,1969-06-16,1969
659,14636,1969-06-22,1969
660,13403,1969-06-23,1969
661,15519,1969-07-02,1969
662,15682,1969-07-20,1969
663,14482,1969-08-16,1969
664,19665,1969-09-11,1969
665,19455,1969-09-16,1969
666,11078,1969-09-20,1969
667,15223,1969-09-22,1969
668,14994,1969-09-29,1969
669,16732,1969-10-10,1969
670,15160,1969-10-28,1969
671,16857,1969-10-29,1969
672,16452,1969-11-27,1969
673,18411,1969-12-01,1969
674,10963,1969-12-19,1969
675,16198,1970-01-05,1970
676,15051,1970-01-15,1970
677,19320,1970-01-16,1970
678,18238,1970-01-26,1970
679,18323,1970-01-29,1970
680,13598,1970-02-16,1970
681,18773,1970-02-16,1970
682,10861,1970-03-30,1970
683,17335,1970-04-21,1970
684,12750,1970-05-05,1970
685,15308,1970-05-09,1970
686,19184,1970-05-11,1970
687,14995,1970-05-20,1970
688,15137,1970-05-21,1970
689,19456,1970-05-26,1970
690,16733,1970-06-05,1970
691,10306,1970-06-21,1970
692,14483,1970-06-30,1970
693,18239,1970-06-30,1970
694,18751,1970-07-02,1970
695,14673,1970-07-02,1970
696,16364,1970-07-02,1970
697,16295,1970-07-02,1970
698,15413,1970-07-02,1970
699,11172,1970-07-16,1970
700,15466,1970-07-26,1970
701,13195,1970-08-12,1970
702,11098,1970-08-14,1970
703,14637,1970-09-16,1970
704,19321,1970-09-16,1970
705,12970,1970-09-18,1970
706,18053,1970-09-18,1970
707,16858,1970-11-09,1970
708,16526,1970-11-27,1970
709,16296,1971-01-16,1971
710,14996,1971-01-26,1971
711,10964,1971-02-03,1971
712,15275,1971-02-03,1971
713,15344,1971-02-22,1971
714,16199,1971-03-11,1971
715,19349,1971-03-16,1971
716,14067,1971-03-24,1971
717,14638,1971-04-03,1971
718,18240,1971-04-05,1971
719,13798,1971-04-05,1971
720,14484,1971-04-09,1971
721,10880,1971-05-03,1971
722,16453,1971-05-11,1971
723,15224,1971-05-12,1971
724,16426,1971-05-19,1971
725,19457,1971-06-16,1971
726,20198,1971-07-16,1971
727,14485,1971-07-19,1971
728,17160,1971-08-05,1971
729,12298,1971-08-12,1971
730,10106,1971-08-14,1971
731,10256,1971-09-06,1971
732,15201,1971-09-06,1971
733,16139,1971-09-14,1971
734,10725,1971-09-14,1971
735,13799,1971-09-19,1971
736,10107,1971-09-24,1971
737,12454,1971-10-04,1971
738,20271,1971-10-07,1971
739,13058,1971-10-26,1971
740,12165,1971-10-29,1971
741,15804,1971-10-29,1971
742,19458,1971-11-16,1971
743,12064,1971-12-01,1971
744,13161,1972-01-03,1972
745,14860,1972-01-08,1972
746,16527,1972-01-16,1972
