,Eruption Number,dt
265,16469,1958-07-12
266,19310,1958-07-13
267,14065,1958-08-07
268,19846,1958-08-14
269,14889,1958-09-05
270,13399,1958-09-13
271,11663,1958-09-16
272,15327,1958-09-16
273,15606,1958-10-02
274,17801,1958-10-03
275,18655,1958-10-04
276,15341,1958-10-07
277,15462,1958-10-17
278,14596,1958-11-05
279,12160,1958-11-06
280,11441,1958-11-16
281,13792,1958-11-16
282,15268,1958-11-18
283,15154,1958-11-21
284,14477,1958-12-16
285,19340,1958-12-28
286,17841,1958-12-31
287,14750,1958-12-31
288,19449,1959-01-03
289,18230,1959-01-16
290,14131,1959-01-23
291,17159,1959-02-13
292,14356,1959-03-11
293,13793,1959-03-23
294,10349,1959-03-26
295,14890,1959-04-02
296,15269,1959-04-16
297,18694,1959-05-15
298,14632,1959-05-21
299,14597,1959-06-01
300,16918,1959-06-08
301,14920,1959-06-16
302,11726,1959-06-29
303,11921,1959-07-02
304,12902,1959-07-02
305,15131,1959-07-02
306,19137,1959-07-02
307,19311,1959-07-02
308,18321,1959-07-02
309,11820,1959-07-15
310,18442,1959-07-15
311,13843,1959-07-16
312,18656,1959-08-15
313,15342,1959-09-18
314,19341,1959-10-15
315,10350,1959-10-16
316,18231,1959-10-16
317,13795,1959-10-17
318,11941,1959-11-06
319,20661,1959-11-14
320,11859,1959-11-16
321,14478,1959-12-14
322,15607,1959-12-16
323,14921,1959-12-16
324,12318,1959-12-28
325,14357,1960-01-11
326,10091,1960-01-13
327,13934,1960-01-16
328,13844,1960-01-16
329,16360,1960-03-13
330,14019,1960-03-16
331,13999,1960-04-13
332,19181,1960-04-16
333,14891,1960-04-28
334,12215,1960-05-24
335,11442,1960-06-16
336,12006,1960-07-02
337,11922,1960-07-02
338,20136,1960-07-02
339,16937,1960-07-02
340,15304,1960-07-10
341,11942,1960-07-10
342,10351,1960-07-15
343,15328,1960-07-16
344,15513,1960-07-16
345,18322,1960-07-21
346,15048,1960-07-29
347,18814,1960-08-30
348,13845,1960-09-16
349,18695,1960-09-16
350,15270,1960-09-17
351,18795,1960-09-27
352,10957,1960-09-28
353,17884,1960-10-10
354,19847,1960-10-15
355,18784,1960-10-20
356,11821,1960-12-02
357,11840,1960-12-02
358,19450,1960-12-16
359,18971,1960-12-16
360,13400,1960-12-16
361,14990,1960-12-19
362,19023,1961-01-16
363,12262,1961-02-01
364,10092,1961-02-24
365,16521,1961-02-28
366,10093,1961-03-03
367,10760,1961-03-11
368,11664,1961-03-21
369,19312,1961-03-24
370,19143,1961-03-25
371,15155,1961-03-28
372,14358,1961-04-05
373,15913,1961-04-11
374,18850,1961-05-02
375,11536,1961-05-05
376,16447,1961-05-19
377,19342,1961-05-21
378,20229,1961-06-30
379,10466,1961-07-02
380,12162,1961-07-02
381,12007,1961-07-02
382,10094,1961-07-10
383,14922,1961-07-16
384,15678,1961-07-16
385,15132,1961-07-26
386,18657,1961-08-14
387,15271,1961-08-15
388,17802,1961-08-18
389,10095,1961-09-22
390,16522,1961-10-09
391,13147,1961-10-10
392,12319,1961-10-16
393,19343,1961-10-18
394,10958,1961-10-25
395,12919,1961-10-26
396,15156,1962-01-16
397,18233,1962-01-16
398,11943,1962-01-16
399,10924,1962-01-16
400,19663,1962-01-24
401,16523,1962-01-29
402,15133,1962-02-15
403,13232,1962-03-05
404,17543,1962-03-14
405,14991,1962-03-16
406,10959,1962-03-21
407,16448,1962-04-16
408,14923,1962-04-16
409,18696,1962-04-28
410,14598,1962-05-24
411,20230,1962-06-09
412,11062,1962-06-16
413,17523,1962-06-17
414,18658,1962-06-29
415,15305,1962-07-16
416,15217,1962-07-16
417,10720,1962-08-04
418,19313,1962-08-16
419,18271,1962-08-24
420,19344,1962-10-21
421,20021,1962-11-05
422,10096,1962-12-07
423,14479,1962-12-15
424,16666,1962-12-31
425,14672,1963-01-16
426,19787,1963-02-13
427,17544,1963-02-14
428,14924,1963-02-15
429,16210,1963-02-18
430,12163,1963-02-25
431,11688,1963-03-04
432,18869,1963-03-08
433,11228,1963-03-13
434,10960,1963-03-16
435,15049,1963-03-17
436,20231,1963-04-01
437,11711,1963-04-13
438,17330,1963-04-21
439,11063,1963-05-09
440,19345,1963-05-16
441,11167,1963-05-23
442,10467,1963-07-02
443,15489,1963-07-02
444,15306,1963-07-07
445,17545,1963-07-10
446,15514,1963-07-16
447,10097,1963-08-21
448,15272,1963-08-30
449,16194,1963-09-05
450,15218,1963-09-15
451,10721,1963-09-28
452,10098,1963-10-05
453,20270,1963-10-11
454,20232,1963-10-17
455,14359,1963-11-07
456,12557,1963-11-08
457,17331,1963-11-10
458,19451,1963-11-13
459,20616,1963-11-16
460,17886,1963-11-20
461,14925,1963-11-26
462,15157,1963-12-14
463,16449,1963-12-17
464,20083,1963-12-28
465,16267,1963-12-31
466,16249,1964-01-29
467,18851,1964-02-01
468,16361,1964-02-08
469,15570,1964-02-14
470,15273,1964-02-16
471,12164,1964-03-02
472,20043,1964-03-10
473,19314,1964-03-16
474,16381,1964-03-16
475,19664,1964-03-18
476,15134,1964-04-24
477,14360,1964-04-30
478,17332,1964-05-14
479,20233,1964-05-31
480,18697,1964-06-18
481,19346,1964-06-25
482,12063,1964-07-02
483,10352,1964-07-02
484,15515,1964-07-08
485,14111,1964-08-03
486,17333,1964-10-16
487,10857,1964-10-23
488,19579,1964-11-12
489,14700,1964-11-19
490,14992,1964-12-04
491,15785,1964-12-13
492,14361,1964-12-21
493,19347,1964-12-25
494,11168,1964-12-25
495,10925,1965-01-16
496,15679,1965-02-16
497,10099,1965-03-05
498,19348,1965-03-09
499,16524,1965-04-05
500,16362,1965-05-07
501,18698,1965-05-15
502,19182,1965-05-15
503,17803,1965-05-23
504,21078,1965-06-14
505,19315,1965-07-02
506,10356,1965-07-02
507,14926,1965-07-02
508,15608,1965-07-02
509,10761,1965-07-04
510,16450,1965-07-10
511,14201,1965-07-12
512,15215,1965-08-09
513,19452,1965-08-16
514,18870,1965-08-16
515,16195,1965-08-18
516,16222,1965-09-16
517,15219,1965-09-27
518,16853,1965-09-28
519,11029,1965-10-10
520,15680,1965-10-16
521,12460,1965-10-24
522,16363,1965-11-02
523,18370,1965-11-13
524,15200,1965-11-23
525,18037,1965-11-25
526,18815,1965-12-09
527,15158,1965-12-11
528,10100,1965-12-24
529,13796,1966-01-10
530,20387,1966-01-24
531,10722,1966-02-07
532,10858,1966-02-22
533,16250,1966-02-28
534,10303,1966-03-09
535,20137,1966-03-15
536,14362,1966-03-15
537,15463,1966-03-16
538,15159,1966-03-19
539,15135,1966-03-20
540,16223,1966-03-28
541,14633,1966-04-04
542,19316,1966-04-15
543,18533,1966-04-21
544,15956,1966-04-26
545,16196,1966-04-28
546,12461,1966-05-05
547,13596,1966-05-21
548,15516,1966-06-09
549,18699,1966-06-15
550,10926,1966-06-16
551,20234,1966-07-02
552,15220,1966-07-02
553,13401,1966-07-02
554,16854,1966-07-05
555,10859,1966-07-16
556,16567,1966-08-12
557,10723,1966-08-12
558,16451,1966-09-24
559,20388,1966-10-07
560,10821,1966-10-28
561,11096,1966-11-06
562,14480,1966-11-13
563,16973,1966-11-22
564,11169,1967-01-01
565,10860,1967-01-05
566,15914,1967-01-12
567,18871,1967-01-16
568,14993,1967-01-19
569,15050,1967-01-22
570,15307,1967-01-27
571,20084,1967-01-28
572,15423,1967-02-18
573,19317,1967-03-16
574,18494,1967-03-27
575,15464,1967-04-16
576,10724,1967-04-22
577,14066,1967-04-23
578,13402,1967-05-07
579,17334,1967-05-16
580,18234,1967-05-16
581,10314,1967-05-29
582,13935,1967-07-02
583,16234,1967-07-02
584,19453,1967-07-02
585,14020,1967-07-08
586,15681,1967-07-16
587,15274,1967-07-16
588,15221,1967-07-16
589,14634,1967-07-22
590,11960,1967-08-09
591,16855,1967-08-16
592,16007,1967-08-31
593,20235,1967-09-05
594,18852,1967-09-06
595,15490,1967-10-10
596,19318,1967-10-16
597,15517,1967-11-02
598,10101,1967-11-05
599,19183,1967-11-16
600,16919,1967-11-25
601,16525,1967-11-29
602,13193,1967-12-04
603,20389,1967-12-06
604,15424,1967-12-11
605,14764,1967-12-11
606,18409,1967-12-23
607,13797,1968-01-07
608,15491,1968-01-14
609,18235,1968-01-19
610,16197,1968-01-23
